_组织编码,_普通编码,_人员手机号,_phd_所属区域,_审批人,flag
a00001,auto001,13671010001,测试专用,13671060124,Y
a00002,auto002,13671010002,测试专用,13671060124,Y
a00003,auto003,13671010003,测试专用,13671060124,Y
a00004,auto004,13671010004,测试专用,13671060124,Y
a00005,auto005,13671010005,测试专用,13671060124,Y
a00006,auto006,13671010006,测试专用,13671060124,Y
a00007,auto007,13671010007,测试专用,13671060124,Y
a00008,auto008,13671010008,测试专用,13671060124,Y
a00009,auto009,13671010009,测试专用,13671060124,Y
a00010,auto010,13671010010,测试专用,13671060124,Y
a00011,auto011,13671010011,测试专用,13671060124,Y
a00012,auto012,13671010012,测试专用,13671060124,
a00013,auto013,13671010013,测试专用,13671060124,
a00014,auto014,13671010014,测试专用,13671060124,
a00015,auto015,13671010015,测试专用,13671060124,
a00016,auto016,13671010016,测试专用,13671060124,
a00017,auto017,13671010017,测试专用,13671060124,
a00018,auto018,13671010018,测试专用,13671060124,
a00019,auto019,13671010019,测试专用,13671060124,
a00020,auto020,13671010020,测试专用,13671060124,
a00021,auto021,13671010021,测试专用,13671060124,
a00022,auto022,13671010022,测试专用,13671060124,
a00023,auto023,13671010023,测试专用,13671060124,
a00024,auto024,13671010024,测试专用,13671060124,
a00025,auto025,13671010025,测试专用,13671060124,
a00026,auto026,13671010026,测试专用,13671060124,
a00027,auto027,13671010027,测试专用,13671060124,
a00028,auto028,13671010028,测试专用,13671060124,
a00029,auto029,13671010029,测试专用,13671060124,
a00030,auto030,13671010030,测试专用,13671060124,
a00031,auto031,13671010031,测试专用,13671060124,
a00032,auto032,13671010032,测试专用,13671060124,
a00033,auto033,13671010033,测试专用,13671060124,
a00034,auto034,13671010034,测试专用,13671060124,
a00035,auto035,13671010035,测试专用,13671060124,
a00036,auto036,13671010036,测试专用,13671060124,
a00037,auto037,13671010037,测试专用,13671060124,
a00038,auto038,13671010038,测试专用,13671060124,
a00039,auto039,13671010039,测试专用,13671060124,
a00040,auto040,13671010040,测试专用,13671060124,
a00041,auto041,13671010041,测试专用,13671060124,
a00042,auto042,13671010042,测试专用,13671060124,
a00043,auto043,13671010043,测试专用,13671060124,
a00044,auto044,13671010044,测试专用,13671060124,
a00045,auto045,13671010045,测试专用,13671060124,
a00046,auto046,13671010046,测试专用,13671060124,
a00047,auto047,13671010047,测试专用,13671060124,
a00048,auto048,13671010048,测试专用,13671060124,
a00049,auto049,13671010049,测试专用,13671060124,
a00050,auto050,13671010050,测试专用,13671060124,
a00051,auto051,13671010051,测试专用,13671060124,
a00052,auto052,13671010052,测试专用,13671060124,
a00053,auto053,13671010053,测试专用,13671060124,
a00054,auto054,13671010054,测试专用,13671060124,
a00055,auto055,13671010055,测试专用,13671060124,
a00056,auto056,13671010056,测试专用,13671060124,
a00057,auto057,13671010057,测试专用,13671060124,
a00058,auto058,13671010058,测试专用,13671060124,
a00059,auto059,13671010059,测试专用,13671060124,
a00060,auto060,13671010060,测试专用,13671060124,
a00061,auto061,13671010061,测试专用,13671060124,
a00062,auto062,13671010062,测试专用,13671060124,
a00063,auto063,13671010063,测试专用,13671060124,
a00064,auto064,13671010064,测试专用,13671060124,
a00065,auto065,13671010065,测试专用,13671060124,
a00066,auto066,13671010066,测试专用,13671060124,
a00067,auto067,13671010067,测试专用,13671060124,
a00068,auto068,13671010068,测试专用,13671060124,
a00069,auto069,13671010069,测试专用,13671060124,
a00070,auto070,13671010070,测试专用,13671060124,
a00071,auto071,13671010071,测试专用,13671060124,
a00072,auto072,13671010072,测试专用,13671060124,
a00073,auto073,13671010073,测试专用,13671060124,
a00074,auto074,13671010074,测试专用,13671060124,
a00075,auto075,13671010075,测试专用,13671060124,
a00076,auto076,13671010076,测试专用,13671060124,
a00077,auto077,13671010077,测试专用,13671060124,
a00078,auto078,13671010078,测试专用,13671060124,
