_组织编码,_普通编码,_人员手机号,flag
a0,auto001,13671010001,Y
a1,auto002,13671010002,Y
a2,auto003,13671010003,Y
a3,auto004,13671010004,Y
a4,auto005,13671010005,Y
a5,auto006,13671010006,
a6,auto007,13671010007,
a7,auto008,13671010008,
a8,auto009,13671010009,
a9,auto010,13671010010,
b0,auto011,13671010011,
b1,auto012,13671010012,
b2,auto013,13671010013,
b3,auto014,13671010014,
b4,auto015,13671010015,
b5,auto016,13671010016,
b6,auto017,13671010017,
b7,auto018,13671010018,
b8,auto019,13671010019,
b9,auto020,13671010020,
c0,auto021,13671010021,
c1,auto022,13671010022,
c2,auto023,13671010023,
c3,auto024,13671010024,
c4,auto025,13671010025,
c5,auto026,13671010026,
c6,auto027,13671010027,
c7,auto028,13671010028,
c8,auto029,13671010029,
c9,auto030,13671010030,
d0,auto031,13671010031,
d1,auto032,13671010032,
d2,auto033,13671010033,
d3,auto034,13671010034,
d4,auto035,13671010035,
d5,auto036,13671010036,
d6,auto037,13671010037,
d7,auto038,13671010038,
d8,auto039,13671010039,
d9,auto040,13671010040,
e0,auto041,13671010041,
e1,auto042,13671010042,
e2,auto043,13671010043,
e3,auto044,13671010044,
e4,auto045,13671010045,
e5,auto046,13671010046,
e6,auto047,13671010047,
e7,auto048,13671010048,
e8,auto049,13671010049,
e9,auto050,13671010050,
f0,auto051,13671010051,
f1,auto052,13671010052,
f2,auto053,13671010053,
f3,auto054,13671010054,
f4,auto055,13671010055,
f5,auto056,13671010056,
f6,auto057,13671010057,
f7,auto058,13671010058,
f8,auto059,13671010059,
f9,auto060,13671010060,
g0,auto061,13671010061,
g1,auto062,13671010062,
g2,auto063,13671010063,
g3,auto064,13671010064,
g4,auto065,13671010065,
g5,auto066,13671010066,
g6,auto067,13671010067,
g7,auto068,13671010068,
g8,auto069,13671010069,
g9,auto070,13671010070,
h0,auto071,13671010071,
h1,auto072,13671010072,
h2,auto073,13671010073,
h3,auto074,13671010074,
h4,auto075,13671010075,
h5,auto076,13671010076,
h6,auto077,13671010077,
h7,auto078,13671010078,
h8,auto079,13671010079,
h9,auto080,13671010080,
i0,auto081,13671010081,
i1,auto082,13671010082,
i2,auto083,13671010083,
i3,auto084,13671010084,
i4,auto085,13671010085,
i5,auto086,13671010086,
i6,auto087,13671010087,
i7,auto088,13671010088,
i8,auto089,13671010089,
i9,auto090,13671010090,
j0,auto091,13671010091,
j1,auto092,13671010092,
j2,auto093,13671010093,
j3,auto094,13671010094,
j4,auto095,13671010095,
j5,auto096,13671010096,
j6,auto097,13671010097,
j7,auto098,13671010098,
j8,auto099,13671010099,
j9,auto100,13671010100,
k0,auto101,13671010101,
k1,auto102,13671010102,
k2,auto103,13671010103,
k3,auto104,13671010104,
k4,auto105,13671010105,
k5,auto106,13671010106,
k6,auto107,13671010107,
k7,auto108,13671010108,
k8,auto109,13671010109,
k9,auto110,13671010110,
l0,auto111,13671010111,
l1,auto112,13671010112,
l2,auto113,13671010113,
l3,auto114,13671010114,
l4,auto115,13671010115,
l5,auto116,13671010116,
l6,auto117,13671010117,
l7,auto118,13671010118,
l8,auto119,13671010119,
l9,auto120,13671010120,
m0,auto121,13671010121,
m1,auto122,13671010122,
m2,auto123,13671010123,
m3,auto124,13671010124,
m4,auto125,13671010125,
m5,auto126,13671010126,
m6,auto127,13671010127,
m7,auto128,13671010128,
m8,auto129,13671010129,
m9,auto130,13671010130,
n0,auto131,13671010131,
n1,auto132,13671010132,
n2,auto133,13671010133,
n3,auto134,13671010134,
n4,auto135,13671010135,
n5,auto136,13671010136,
n6,auto137,13671010137,
n7,auto138,13671010138,
n8,auto139,13671010139,
n9,auto140,13671010140,
o0,auto141,13671010141,
o1,auto142,13671010142,
o2,auto143,13671010143,
o3,auto144,13671010144,
o4,auto145,13671010145,
o5,auto146,13671010146,
o6,auto147,13671010147,
o7,auto148,13671010148,
o8,auto149,13671010149,
o9,auto150,13671010150,
p0,auto151,13671010151,
p1,auto152,13671010152,
p2,auto153,13671010153,
p3,auto154,13671010154,
p4,auto155,13671010155,
p5,auto156,13671010156,
p6,auto157,13671010157,
p7,auto158,13671010158,
p8,auto159,13671010159,
p9,auto160,13671010160,
q0,auto161,13671010161,
q1,auto162,13671010162,
q2,auto163,13671010163,
q3,auto164,13671010164,
q4,auto165,13671010165,
q5,auto166,13671010166,
q6,auto167,13671010167,
q7,auto168,13671010168,
q8,auto169,13671010169,
q9,auto170,13671010170,
r0,auto171,13671010171,
r1,auto172,13671010172,
r2,auto173,13671010173,
r3,auto174,13671010174,
r4,auto175,13671010175,
r5,auto176,13671010176,
r6,auto177,13671010177,
r7,auto178,13671010178,
r8,auto179,13671010179,
r9,auto180,13671010180,
s0,auto181,13671010181,
s1,auto182,13671010182,
s2,auto183,13671010183,
s3,auto184,13671010184,
s4,auto185,13671010185,
s5,auto186,13671010186,
s6,auto187,13671010187,
s7,auto188,13671010188,
s8,auto189,13671010189,
s9,auto190,13671010190,
t0,auto191,13671010191,
t1,auto192,13671010192,
t2,auto193,13671010193,
t3,auto194,13671010194,
t4,auto195,13671010195,
t5,auto196,13671010196,
t6,auto197,13671010197,
t7,auto198,13671010198,
t8,auto199,13671010199,
t9,auto200,13671010200,
