_组织编码,_普通编码,_人员手机号,_phd_所属区域,_审批人,flag
a0,auto001,13671010001,测试专用,13671060124,Y
a1,auto002,13671010002,测试专用,13671060124,Y
a2,auto003,13671010003,测试专用,13671060124,Y
a3,auto004,13671010004,测试专用,13671060124,
a4,auto005,13671010005,测试专用,13671060124,
a5,auto006,13671010006,测试专用,13671060124,
a6,auto007,13671010007,测试专用,13671060124,
a7,auto008,13671010008,测试专用,13671060124,
a8,auto009,13671010009,测试专用,13671060124,
a9,auto010,13671010010,测试专用,13671060124,
b0,auto011,13671010011,测试专用,13671060124,
b1,auto012,13671010012,测试专用,13671060124,
b2,auto013,13671010013,测试专用,13671060124,
b3,auto014,13671010014,测试专用,13671060124,
b4,auto015,13671010015,测试专用,13671060124,
b5,auto016,13671010016,测试专用,13671060124,
b6,auto017,13671010017,测试专用,13671060124,
b7,auto018,13671010018,测试专用,13671060124,
b8,auto019,13671010019,测试专用,13671060124,
b9,auto020,13671010020,测试专用,13671060124,
c0,auto021,13671010021,测试专用,13671060124,
c1,auto022,13671010022,测试专用,13671060124,
c2,auto023,13671010023,测试专用,13671060124,
c3,auto024,13671010024,测试专用,13671060124,
c4,auto025,13671010025,测试专用,13671060124,
c5,auto026,13671010026,测试专用,13671060124,
c6,auto027,13671010027,测试专用,13671060124,
c7,auto028,13671010028,测试专用,13671060124,
c8,auto029,13671010029,测试专用,13671060124,
c9,auto030,13671010030,测试专用,13671060124,
d0,auto031,13671010031,测试专用,13671060124,
d1,auto032,13671010032,测试专用,13671060124,
d2,auto033,13671010033,测试专用,13671060124,
d3,auto034,13671010034,测试专用,13671060124,
d4,auto035,13671010035,测试专用,13671060124,
d5,auto036,13671010036,测试专用,13671060124,
d6,auto037,13671010037,测试专用,13671060124,
d7,auto038,13671010038,测试专用,13671060124,
d8,auto039,13671010039,测试专用,13671060124,
d9,auto040,13671010040,测试专用,13671060124,
e0,auto041,13671010041,测试专用,13671060124,
e1,auto042,13671010042,测试专用,13671060124,
e2,auto043,13671010043,测试专用,13671060124,
e3,auto044,13671010044,测试专用,13671060124,
e4,auto045,13671010045,测试专用,13671060124,
e5,auto046,13671010046,测试专用,13671060124,
e6,auto047,13671010047,测试专用,13671060124,
e7,auto048,13671010048,测试专用,13671060124,
e8,auto049,13671010049,测试专用,13671060124,
e9,auto050,13671010050,测试专用,13671060124,
f0,auto051,13671010051,测试专用,13671060124,
f1,auto052,13671010052,测试专用,13671060124,
f2,auto053,13671010053,测试专用,13671060124,
f3,auto054,13671010054,测试专用,13671060124,
f4,auto055,13671010055,测试专用,13671060124,
f5,auto056,13671010056,测试专用,13671060124,
f6,auto057,13671010057,测试专用,13671060124,
f7,auto058,13671010058,测试专用,13671060124,
f8,auto059,13671010059,测试专用,13671060124,
f9,auto060,13671010060,测试专用,13671060124,
g0,auto061,13671010061,测试专用,13671060124,
g1,auto062,13671010062,测试专用,13671060124,
g2,auto063,13671010063,测试专用,13671060124,
g3,auto064,13671010064,测试专用,13671060124,
g4,auto065,13671010065,测试专用,13671060124,
g5,auto066,13671010066,测试专用,13671060124,
g6,auto067,13671010067,测试专用,13671060124,
g7,auto068,13671010068,测试专用,13671060124,
g8,auto069,13671010069,测试专用,13671060124,
g9,auto070,13671010070,测试专用,13671060124,
h0,auto071,13671010071,测试专用,13671060124,
h1,auto072,13671010072,测试专用,13671060124,
h2,auto073,13671010073,测试专用,13671060124,
h3,auto074,13671010074,测试专用,13671060124,
h4,auto075,13671010075,测试专用,13671060124,
h5,auto076,13671010076,测试专用,13671060124,
h6,auto077,13671010077,测试专用,13671060124,
h7,auto078,13671010078,测试专用,13671060124,
h8,auto079,13671010079,测试专用,13671060124,
h9,auto080,13671010080,测试专用,13671060124,
i0,auto081,13671010081,测试专用,13671060124,
i1,auto082,13671010082,测试专用,13671060124,
i2,auto083,13671010083,测试专用,13671060124,
i3,auto084,13671010084,测试专用,13671060124,
i4,auto085,13671010085,测试专用,13671060124,
i5,auto086,13671010086,测试专用,13671060124,
i6,auto087,13671010087,测试专用,13671060124,
i7,auto088,13671010088,测试专用,13671060124,
i8,auto089,13671010089,测试专用,13671060124,
i9,auto090,13671010090,测试专用,13671060124,
j0,auto091,13671010091,测试专用,13671060124,
j1,auto092,13671010092,测试专用,13671060124,
j2,auto093,13671010093,测试专用,13671060124,
j3,auto094,13671010094,测试专用,13671060124,
