_组织编码,_普通编码,_人员手机号,flag
101,auto001,13671010001,Y
102,auto002,13671010002,Y
103,auto003,13671010003,Y
104,auto004,13671010004,Y
105,auto005,13671010005,Y
106,auto006,13671010006,Y
107,auto007,13671010007,Y
108,auto008,13671010008,Y
109,auto009,13671010009,Y
110,auto010,13671010010,Y
111,auto011,13671010011,Y
112,auto012,13671010012,Y
113,auto013,13671010013,Y
114,auto014,13671010014,
115,auto015,13671010015,
116,auto016,13671010016,
117,auto017,13671010017,
118,auto018,13671010018,
119,auto019,13671010019,
120,auto020,13671010020,
121,auto021,13671010021,
122,auto022,13671010022,
123,auto023,13671010023,
124,auto024,13671010024,
125,auto025,13671010025,
126,auto026,13671010026,
127,auto027,13671010027,
128,auto028,13671010028,
129,auto029,13671010029,
130,auto030,13671010030,
131,auto031,13671010031,
132,auto032,13671010032,
133,auto033,13671010033,
134,auto034,13671010034,
135,auto035,13671010035,
136,auto036,13671010036,
137,auto037,13671010037,
138,auto038,13671010038,
139,auto039,13671010039,
140,auto040,13671010040,
141,auto041,13671010041,
142,auto042,13671010042,
143,auto043,13671010043,
144,auto044,13671010044,
145,auto045,13671010045,
146,auto046,13671010046,
147,auto047,13671010047,
148,auto048,13671010048,
149,auto049,13671010049,
150,auto050,13671010050,
151,auto051,13671010051,
152,auto052,13671010052,
153,auto053,13671010053,
154,auto054,13671010054,
155,auto055,13671010055,
156,auto056,13671010056,
157,auto057,13671010057,
158,auto058,13671010058,
159,auto059,13671010059,
160,auto060,13671010060,
161,auto061,13671010061,
162,auto062,13671010062,
163,auto063,13671010063,
164,auto064,13671010064,
165,auto065,13671010065,
166,auto066,13671010066,
167,auto067,13671010067,
168,auto068,13671010068,
169,auto069,13671010069,
170,auto070,13671010070,
171,auto071,13671010071,
172,auto072,13671010072,
173,auto073,13671010073,
174,auto074,13671010074,
175,auto075,13671010075,
176,auto076,13671010076,
177,auto077,13671010077,
178,auto078,13671010078,
179,auto079,13671010079,
180,auto080,13671010080,
181,auto081,13671010081,
182,auto082,13671010082,
183,auto083,13671010083,
184,auto084,13671010084,
185,auto085,13671010085,
186,auto086,13671010086,
187,auto087,13671010087,
188,auto088,13671010088,
189,auto089,13671010089,
190,auto090,13671010090,
191,auto091,13671010091,
192,auto092,13671010092,
193,auto093,13671010093,
194,auto094,13671010094,
195,auto095,13671010095,
196,auto096,13671010096,
197,auto097,13671010097,
198,auto098,13671010098,
199,auto099,13671010099,
200,auto100,13671010100,
201,auto101,13671010101,
202,auto102,13671010102,
203,auto103,13671010103,
204,auto104,13671010104,
205,auto105,13671010105,
206,auto106,13671010106,
207,auto107,13671010107,
208,auto108,13671010108,
209,auto109,13671010109,
210,auto110,13671010110,
211,auto111,13671010111,
212,auto112,13671010112,
213,auto113,13671010113,
214,auto114,13671010114,
215,auto115,13671010115,
216,auto116,13671010116,
217,auto117,13671010117,
218,auto118,13671010118,
219,auto119,13671010119,
220,auto120,13671010120,
221,auto121,13671010121,
222,auto122,13671010122,
223,auto123,13671010123,
224,auto124,13671010124,
225,auto125,13671010125,
226,auto126,13671010126,
227,auto127,13671010127,
228,auto128,13671010128,
229,auto129,13671010129,
230,auto130,13671010130,
231,auto131,13671010131,
232,auto132,13671010132,
233,auto133,13671010133,
234,auto134,13671010134,
235,auto135,13671010135,
236,auto136,13671010136,
237,auto137,13671010137,
238,auto138,13671010138,
239,auto139,13671010139,
240,auto140,13671010140,
241,auto141,13671010141,
242,auto142,13671010142,
243,auto143,13671010143,
244,auto144,13671010144,
245,auto145,13671010145,
246,auto146,13671010146,
247,auto147,13671010147,
248,auto148,13671010148,
249,auto149,13671010149,
250,auto150,13671010150,
251,auto151,13671010151,
252,auto152,13671010152,
253,auto153,13671010153,
254,auto154,13671010154,
255,auto155,13671010155,
256,auto156,13671010156,
257,auto157,13671010157,
258,auto158,13671010158,
259,auto159,13671010159,
260,auto160,13671010160,
261,auto161,13671010161,
262,auto162,13671010162,
263,auto163,13671010163,
264,auto164,13671010164,
265,auto165,13671010165,
266,auto166,13671010166,
267,auto167,13671010167,
268,auto168,13671010168,
269,auto169,13671010169,
270,auto170,13671010170,
271,auto171,13671010171,
272,auto172,13671010172,
273,auto173,13671010173,
274,auto174,13671010174,
275,auto175,13671010175,
276,auto176,13671010176,
277,auto177,13671010177,
278,auto178,13671010178,
279,auto179,13671010179,
280,auto180,13671010180,
281,auto181,13671010181,
282,auto182,13671010182,
283,auto183,13671010183,
284,auto184,13671010184,
285,auto185,13671010185,
286,auto186,13671010186,
287,auto187,13671010187,
288,auto188,13671010188,
289,auto189,13671010189,
290,auto190,13671010190,
291,auto191,13671010191,
292,auto192,13671010192,
293,auto193,13671010193,
294,auto194,13671010194,
295,auto195,13671010195,
296,auto196,13671010196,
297,auto197,13671010197,
298,auto198,13671010198,
299,auto199,13671010199,
300,auto200,13671010200,
301,auto201,13671010201,
302,auto202,13671010202,
303,auto203,13671010203,
304,auto204,13671010204,
305,auto205,13671010205,
306,auto206,13671010206,
307,auto207,13671010207,
308,auto208,13671010208,
309,auto209,13671010209,
310,auto210,13671010210,
311,auto211,13671010211,
312,auto212,13671010212,
313,auto213,13671010213,
314,auto214,13671010214,
315,auto215,13671010215,
316,auto216,13671010216,
317,auto217,13671010217,
318,auto218,13671010218,
319,auto219,13671010219,
320,auto220,13671010220,
321,auto221,13671010221,
322,auto222,13671010222,
323,auto223,13671010223,
324,auto224,13671010224,
325,auto225,13671010225,
326,auto226,13671010226,
327,auto227,13671010227,
328,auto228,13671010228,
329,auto229,13671010229,
330,auto230,13671010230,
331,auto231,13671010231,
332,auto232,13671010232,
333,auto233,13671010233,
334,auto234,13671010234,
335,auto235,13671010235,
336,auto236,13671010236,
337,auto237,13671010237,
338,auto238,13671010238,
339,auto239,13671010239,
340,auto240,13671010240,
341,auto241,13671010241,
342,auto242,13671010242,
343,auto243,13671010243,
344,auto244,13671010244,
345,auto245,13671010245,
346,auto246,13671010246,
347,auto247,13671010247,
348,auto248,13671010248,
349,auto249,13671010249,
350,auto250,13671010250,
351,auto251,13671010251,
352,auto252,13671010252,
353,auto253,13671010253,
354,auto254,13671010254,
355,auto255,13671010255,
356,auto256,13671010256,
357,auto257,13671010257,
358,auto258,13671010258,
359,auto259,13671010259,
360,auto260,13671010260,
361,auto261,13671010261,
362,auto262,13671010262,
363,auto263,13671010263,
364,auto264,13671010264,
365,auto265,13671010265,
366,auto266,13671010266,
367,auto267,13671010267,
368,auto268,13671010268,
369,auto269,13671010269,
370,auto270,13671010270,
371,auto271,13671010271,
372,auto272,13671010272,
373,auto273,13671010273,
374,auto274,13671010274,
375,auto275,13671010275,
376,auto276,13671010276,
377,auto277,13671010277,
378,auto278,13671010278,
379,auto279,13671010279,
380,auto280,13671010280,
381,auto281,13671010281,
382,auto282,13671010282,
383,auto283,13671010283,
384,auto284,13671010284,
385,auto285,13671010285,
386,auto286,13671010286,
387,auto287,13671010287,
388,auto288,13671010288,
389,auto289,13671010289,
390,auto290,13671010290,
391,auto291,13671010291,
392,auto292,13671010292,
393,auto293,13671010293,
394,auto294,13671010294,
395,auto295,13671010295,
396,auto296,13671010296,
397,auto297,13671010297,
398,auto298,13671010298,
399,auto299,13671010299,
400,auto300,13671010300,
401,auto301,13671010301,
402,auto302,13671010302,
403,auto303,13671010303,
404,auto304,13671010304,
405,auto305,13671010305,
406,auto306,13671010306,
407,auto307,13671010307,
408,auto308,13671010308,
409,auto309,13671010309,
410,auto310,13671010310,
411,auto311,13671010311,
412,auto312,13671010312,
413,auto313,13671010313,
414,auto314,13671010314,
415,auto315,13671010315,
416,auto316,13671010316,
417,auto317,13671010317,
418,auto318,13671010318,
419,auto319,13671010319,
420,auto320,13671010320,
421,auto321,13671010321,
422,auto322,13671010322,
423,auto323,13671010323,
424,auto324,13671010324,
425,auto325,13671010325,
426,auto326,13671010326,
427,auto327,13671010327,
428,auto328,13671010328,
429,auto329,13671010329,
430,auto330,13671010330,
431,auto331,13671010331,
432,auto332,13671010332,
433,auto333,13671010333,
434,auto334,13671010334,
435,auto335,13671010335,
436,auto336,13671010336,
437,auto337,13671010337,
438,auto338,13671010338,
439,auto339,13671010339,
440,auto340,13671010340,
